InstrumentID,SymbolFull
10956,IRD
11043,MRAM
11045,ECDA
11083,MCAA
11100,ELTK
11106,TRC
11119,GYRE
11179,FOOD.L
11251,PANR.L
11278,THRL.L
11329,MACF.L
11352,KETL.L
11382,RWA.L
11414,STB.L
11434,SEE.L
11441,EAAS.L
11473,SUP.L
11599,GMR.L
11654,DXRX.L
11664,FVA.L
11743,SOS.L
11747,MOTR.L
11750,PHAR.L
11768,TRX.L
11832,IMM.L
11963,ENW.L
12066,CPP.L
12169,CON.US
12175,MODON.DH
12198,JULPHAR.DH
12216,CEPU Escrow asset
12269,BSL.DE
12277,WSU.DE
12287,NTG.DE
12307,HNL.DE
12313,WIB.DE
12325,2M6.DE
12343,GFG.DE
12353,RHK.DE
12364,DAM.DE
12382,HP3A.DE
12392,FEV.DE
12398,BEZ.DE
12455,APM.DE
12507,ELB.DE
12522,1FC.DE
12524,DIE.DE
12561,HMU.DE
12585,IPOK.DE
12603,INPST.NV
12611,HAL.NV
12616,CCEP.NV
12623,FAST.NV
12660,LOTB.BR
12683,BPOST.BR
12711,BNB.BR
12725,TEXF.BR
12729,IEP.BR
12733,ABO.BR
12757,MRL.LS
12782,SATS.OL
12790,MING.OL
12798,2020.OL
12815,WWI.OL
12869,ALNG.OL
12880,AZT.OL
12964,AKVA.OL
12986,AURG.OL
12992,KRAB.OL
13041,ALERS.PA
13053,BON.PA
13061,ALVAL.PA
13081,ALBFR.PA
13085,ALJXR.PA
13103,ALRPD.PA
13126,ALSTI.PA
13175,ALSEN.PA
13177,AKW.PA
13201,PAT.PA
13226,ALODC.PA
13242,ALAGP.PA
13256,ALIMP.PA
13305,ALBI.PA
13326,IAM.PA
13330,ALFUM.PA
13332,ALDAR.PA
13561,VFEA.L
13566,FMB
13570,EIKN
13607,PCG.RTH
13615,BETA
13631,GEV.RTH
13637,DELL.RTH
13682,3692.HK
13684,6181.HK
13685,1880.HK
13700,3996.HK
13731,1071.HK
13755,874.HK
13775,WIHL.ST
13791,PEABb.ST
13804,BIOAb.ST
13806,NYFO.ST
13851,ZZb.ST
13855,INTRUM.ST
13866,FSKRS.HE
13870,HARVIA.HE
13880,TOKMAN.HE
13914,TNOM.HE
13921,AIFORIA.HE
13944,DFDS.CO
13977,BIOPOR.CO
14250,LCUJ.DE
14288,HTFL
14309,APP.RTH
14317,ISRG.RTH
14323,SBUX.RTH
14387,HWH
14400,AIRE
14410,CRDO.RTH
14411,ALAB.RTH
14430,SOC
14449,WATC.L
14452,LCJD.L
14472,SDVY
14501,IS15.L
14763,GILD.RTH
14785,MPWR.RTH
14791,CME.RTH
14796,NEE.RTH
14797,COP.RTH
14805,JCI.RTH
14828,EQIX.RTH
14861,HWM.RTH
14876,MCO.RTH
14892,GD.RTH
14905,WYNN.RTH
14912,PSKY.RTH
14926,EL.RTH
14940,CPB.RTH
14957,LVS.RTH
14973,RSG.RTH
14977,SJM.RTH
14993,GRMN.RTH
15007,BLDR.RTH
15064,SWK.RTH
15086,TECH.RTH
15089,FOX.RTH
15122,NDSN.RTH
15131,MHK.RTH
15144,EME.RTH
15189,SAIL
15226,NTB
15251,DNTH
15310,ENRG.PA
15322,TELE.PA
15341,SMEA.L
15357,FLXC.L
15384,TPHU.L
15400,DEMR.L
15418,NCLR.L
15482,EXAG.DE
15491,CEMK.DE
15496,CEBE.DE
15498,IG32.DE
15508,XSX6.DE
15585,GENB
15610,XRXDW
100017,ADA
100043,DOGE
100063,SOL
100081,AMP
100092,FTT
100118,BTCGBP
100120,XRPGBP
100133,ETHBTC
100172,ETCCAD
100173,ETCCHF
100185,LTCNZD
100315,APT
100411,KAITO
100416,VET
100418,TAO
